State,County,Total Floods
FLORIDA,ALACHUA,35
FLORIDA,BAKER,16
FLORIDA,BAY,51
FLORIDA,BRADFORD,14
FLORIDA,BREVARD,30
FLORIDA,BROWARD,39
FLORIDA,CALHOUN,23
FLORIDA,CHARLOTTE,36
FLORIDA,CITRUS,48
FLORIDA,CLAY,28
FLORIDA,COLLIER,23
FLORIDA,COLUMBIA,25
FLORIDA,DE SOTO,49
FLORIDA,DIXIE,22
FLORIDA,DUVAL,109
FLORIDA,ESCAMBIA,46
FLORIDA,FLAGLER,58
FLORIDA,FRANKLIN,29
FLORIDA,GADSDEN,23
FLORIDA,GILCHRIST,7
FLORIDA,GLADES,22
FLORIDA,GULF,26
FLORIDA,HAMILTON,14
FLORIDA,HARDEE,37
FLORIDA,HENDRY,13
FLORIDA,HERNANDO,48
FLORIDA,HIGHLANDS,30
FLORIDA,HILLSBOROUGH,109
FLORIDA,HOLMES,39
FLORIDA,INDIAN RIVER,23
FLORIDA,JACKSON,50
FLORIDA,JEFFERSON,23
FLORIDA,LAFAYETTE,28
FLORIDA,LAKE,11
FLORIDA,LEE,54
FLORIDA,LEON,66
FLORIDA,LEVY,31
FLORIDA,LIBERTY,20
FLORIDA,MADISON,35
FLORIDA,MANATEE,77
FLORIDA,MARION,35
FLORIDA,MARTIN,21
FLORIDA,MIAMI-DADE,54
FLORIDA,MONROE,18
FLORIDA,NASSAU,26
FLORIDA,OKALOOSA,40
FLORIDA,OKEECHOBEE,9
FLORIDA,ORANGE,14
FLORIDA,OSCEOLA,20
FLORIDA,PALM BEACH,44
FLORIDA,PASCO,84
FLORIDA,PINELLAS,79
FLORIDA,POLK,63
FLORIDA,PUTNAM,23
FLORIDA,SANTA ROSA,40
FLORIDA,SARASOTA,62
FLORIDA,SEMINOLE,14
FLORIDA,ST. JOHNS,60
FLORIDA,ST. LUCIE,24
FLORIDA,SUMTER,19
FLORIDA,SUWANNEE,20
FLORIDA,TAYLOR,33
FLORIDA,UNION,9
FLORIDA,VOLUSIA,25
FLORIDA,WAKULLA,44
FLORIDA,WALTON,38
FLORIDA,WASHINGTON,45
ALABAMA,AUTAUGA,42
ALABAMA,BALDWIN,72
ALABAMA,BARBOUR,8
ALABAMA,BIBB,20
ALABAMA,BLOUNT,44
ALABAMA,BULLOCK,14
ALABAMA,BUTLER,18
ALABAMA,CALHOUN,33
ALABAMA,CHAMBERS,26
ALABAMA,CHEROKEE,31
ALABAMA,CHILTON,22
ALABAMA,CHOCTAW,40
ALABAMA,CLARKE,36
ALABAMA,CLAY,22
ALABAMA,CLEBURNE,16
ALABAMA,COFFEE,26
ALABAMA,COLBERT,81
ALABAMA,CONECUH,16
ALABAMA,COOSA,7
ALABAMA,COVINGTON,24
ALABAMA,CRENSHAW,19
ALABAMA,CULLMAN,69
ALABAMA,DALE,25
ALABAMA,DALLAS,22
ALABAMA,DEKALB,59
ALABAMA,ELMORE,54
